antecedent,consequent,support,confidence,lift
{28},{32},0.342,0.433,1.048
{28},{39},0.342,0.336,1.064
{39},{28},0.316,0.364,1.064
{30},{31},0.563,0.178,1.074
{31},{30},0.165,0.605,1.074
{34},{30},0.641,0.574,1.02
{30},{34},0.563,0.653,1.02
{44},{30},0.373,0.581,1.031
{30},{44},0.563,0.384,1.031
{48},{30},0.479,0.59,1.047
{30},{48},0.563,0.501,1.047
{49},{30},0.389,0.59,1.047
{30},{49},0.563,0.407,1.047
{3},{30},0.238,0.598,1.062
{30},{3},0.563,0.253,1.062
{30},{15},0.563,0.328,1.073
{15},{30},0.305,0.604,1.073
{16},{30},0.513,0.565,1.003
{30},{16},0.563,0.515,1.003
{26},{30},0.412,0.593,1.053
{30},{26},0.563,0.434,1.053
{41},{30},0.207,0.555,0.985
{30},{41},0.563,0.204,0.985
{2},{30},0.273,0.574,1.019
{30},{2},0.563,0.278,1.019
{12},{30},0.365,0.588,1.044
{30},{12},0.563,0.382,1.044
{35},{30},0.222,0.548,0.973
{30},{35},0.563,0.216,0.973
{42},{30},0.317,0.591,1.049
{30},{42},0.563,0.333,1.049
{46},{30},0.372,0.607,1.077
{30},{46},0.563,0.401,1.077
{32},{30},0.413,0.593,1.052
{30},{32},0.563,0.434,1.052
{37},{30},0.233,0.583,1.035
{30},{37},0.563,0.241,1.035
{30},{39},0.563,0.342,1.084
{39},{30},0.316,0.61,1.084
{43},{30},0.208,0.607,1.077
{30},{43},0.563,0.224,1.077
{30},{47},0.563,0.211,1.023
{47},{30},0.206,0.576,1.023
{5},{30},0.227,0.56,0.995
{30},{5},0.563,0.226,0.995
{33},{30},0.169,0.625,1.109
{30},{33},0.563,0.187,1.109
{29},{30},0.28,0.583,1.036
{30},{29},0.563,0.29,1.036
{38},{30},0.269,0.584,1.038
{30},{38},0.563,0.279,1.038
{34},{31},0.641,0.17,1.026
{31},{34},0.165,0.657,1.026
{34},{44},0.641,0.39,1.044
{44},{34},0.373,0.669,1.044
{48},{34},0.479,0.661,1.031
{34},{48},0.641,0.494,1.031
{49},{34},0.389,0.652,1.018
{34},{49},0.641,0.396,1.018
{34},{3},0.641,0.253,1.06
{3},{34},0.238,0.679,1.06
{34},{13},0.641,0.161,1.084
{13},{34},0.148,0.694,1.084
{34},{15},0.641,0.315,1.03
{15},{34},0.305,0.66,1.03
{16},{34},0.513,0.648,1.011
{34},{16},0.641,0.519,1.011
{34},{26},0.641,0.421,1.02
{26},{34},0.412,0.654,1.02
{41},{34},0.207,0.685,1.07
{34},{41},0.641,0.221,1.07
{34},{2},0.641,0.292,1.07
{2},{34},0.273,0.685,1.07
{34},{12},0.641,0.371,1.015
{12},{34},0.365,0.65,1.015
{34},{35},0.641,0.231,1.044
{35},{34},0.222,0.669,1.044
{34},{42},0.641,0.326,1.027
{42},{34},0.317,0.658,1.027
{34},{46},0.641,0.395,1.06
{46},{34},0.372,0.679,1.06
{32},{34},0.413,0.672,1.049
{34},{32},0.641,0.433,1.049
{34},{37},0.641,0.248,1.064
{37},{34},0.233,0.682,1.064
{34},{39},0.641,0.327,1.035
{39},{34},0.316,0.663,1.035
{34},{43},0.641,0.218,1.05
{43},{34},0.208,0.673,1.05
{34},{47},0.641,0.211,1.023
{47},{34},0.206,0.655,1.023
{34},{5},0.641,0.238,1.049
{5},{34},0.227,0.672,1.049
{33},{34},0.169,0.7,1.092
{34},{33},0.641,0.184,1.092
{34},{29},0.641,0.28,1.0
{29},{34},0.28,0.64,1.0
{34},{38},0.641,0.28,1.04
{38},{34},0.269,0.666,1.04
{48},{44},0.479,0.388,1.041
{44},{48},0.373,0.498,1.041
{49},{44},0.389,0.368,0.987
{44},{49},0.373,0.384,0.987
{44},{15},0.373,0.313,1.025
{15},{44},0.305,0.383,1.025
{16},{44},0.513,0.381,1.021
{44},{16},0.373,0.524,1.021
{26},{44},0.412,0.38,1.019
{44},{26},0.373,0.42,1.019
{2},{44},0.273,0.412,1.106
{44},{2},0.373,0.301,1.106
{44},{12},0.373,0.378,1.036
{12},{44},0.365,0.386,1.036
{42},{44},0.317,0.403,1.08
{44},{42},0.373,0.343,1.08
{44},{46},0.373,0.385,1.033
{46},{44},0.372,0.385,1.033
{32},{44},0.413,0.398,1.066
{44},{32},0.373,0.44,1.066
{44},{39},0.373,0.321,1.016
{39},{44},0.316,0.379,1.016
{44},{29},0.373,0.301,1.072
{29},{44},0.28,0.4,1.072
{44},{38},0.373,0.307,1.141
{38},{44},0.269,0.426,1.141
{48},{49},0.479,0.399,1.025
{49},{48},0.389,0.491,1.025
{48},{3},0.479,0.251,1.053
{3},{48},0.238,0.504,1.053
{48},{15},0.479,0.325,1.064
{15},{48},0.305,0.509,1.064
{48},{16},0.479,0.518,1.009
{16},{48},0.513,0.483,1.009
{48},{26},0.479,0.428,1.037
{26},{48},0.412,0.497,1.037
{48},{41},0.479,0.218,1.054
{41},{48},0.207,0.505,1.054
{48},{2},0.479,0.288,1.056
{2},{48},0.273,0.506,1.056
{48},{12},0.479,0.38,1.039
{12},{48},0.365,0.498,1.039
{48},{35},0.479,0.229,1.032
{35},{48},0.222,0.494,1.032
{48},{42},0.479,0.334,1.054
{42},{48},0.317,0.505,1.054
{48},{46},0.479,0.397,1.065
{46},{48},0.372,0.51,1.065
{48},{32},0.479,0.427,1.035
{32},{48},0.413,0.496,1.035
{48},{37},0.479,0.256,1.101
{37},{48},0.233,0.527,1.101
{48},{39},0.479,0.338,1.07
{39},{48},0.316,0.512,1.07
{48},{43},0.479,0.209,1.006
{43},{48},0.208,0.482,1.006
{48},{47},0.479,0.216,1.048
{47},{48},0.206,0.502,1.048
{48},{5},0.479,0.249,1.096
{5},{48},0.227,0.525,1.096
{48},{29},0.479,0.28,0.999
{29},{48},0.28,0.479,0.999
{48},{38},0.479,0.286,1.062
{38},{48},0.269,0.509,1.062
{49},{15},0.389,0.312,1.021
{15},{49},0.305,0.397,1.021
{16},{49},0.513,0.414,1.064
{49},{16},0.389,0.546,1.064
{49},{26},0.389,0.422,1.024
{26},{49},0.412,0.398,1.024
{49},{2},0.389,0.299,1.096
{2},{49},0.273,0.426,1.096
{49},{12},0.389,0.368,1.008
{12},{49},0.365,0.392,1.008
{49},{42},0.389,0.33,1.041
{42},{49},0.317,0.405,1.041
{49},{46},0.389,0.384,1.03
{46},{49},0.372,0.401,1.03
{32},{49},0.413,0.419,1.077
{49},{32},0.389,0.445,1.077
{49},{39},0.389,0.336,1.062
{39},{49},0.316,0.413,1.062
{49},{29},0.389,0.277,0.989
{29},{49},0.28,0.385,0.989
{49},{38},0.389,0.29,1.079
{38},{49},0.269,0.419,1.079
{16},{3},0.513,0.24,1.007
{3},{16},0.238,0.517,1.007
{32},{3},0.413,0.251,1.055
{3},{32},0.238,0.436,1.055
{16},{15},0.513,0.319,1.044
{15},{16},0.305,0.536,1.044
{26},{15},0.412,0.337,1.102
{15},{26},0.305,0.455,1.102
{12},{15},0.365,0.308,1.008
{15},{12},0.305,0.368,1.008
{42},{15},0.317,0.318,1.04
{15},{42},0.305,0.33,1.04
{46},{15},0.372,0.315,1.03
{15},{46},0.305,0.384,1.03
{32},{15},0.413,0.317,1.038
{15},{32},0.305,0.428,1.038
{16},{26},0.513,0.432,1.048
{26},{16},0.412,0.538,1.048
{16},{41},0.513,0.214,1.034
{41},{16},0.207,0.531,1.034
{16},{2},0.513,0.282,1.033
{2},{16},0.273,0.53,1.033
{16},{12},0.513,0.391,1.071
{12},{16},0.365,0.55,1.071
{16},{35},0.513,0.22,0.995
{35},{16},0.222,0.511,0.995
{16},{42},0.513,0.33,1.041
{42},{16},0.317,0.534,1.041
{16},{46},0.513,0.383,1.028
{46},{16},0.372,0.528,1.028
{16},{32},0.513,0.436,1.057
{32},{16},0.413,0.542,1.057
{16},{37},0.513,0.257,1.106
{37},{16},0.233,0.567,1.106
{16},{39},0.513,0.331,1.047
{39},{16},0.316,0.537,1.047
{16},{43},0.513,0.218,1.048
{43},{16},0.208,0.538,1.048
{16},{47},0.513,0.222,1.078
{47},{16},0.206,0.553,1.078
{16},{5},0.513,0.236,1.04
{5},{16},0.227,0.534,1.04
{16},{29},0.513,0.298,1.065
{29},{16},0.28,0.546,1.065
{16},{38},0.513,0.278,1.035
{38},{16},0.269,0.531,1.035
{26},{2},0.412,0.277,1.015
{2},{26},0.273,0.419,1.015
{26},{12},0.412,0.371,1.016
{12},{26},0.365,0.419,1.016
{26},{42},0.412,0.328,1.033
{42},{26},0.317,0.426,1.033
{26},{46},0.412,0.388,1.043
{46},{26},0.372,0.43,1.043
{32},{26},0.413,0.411,0.998
{26},{32},0.412,0.412,0.998
{26},{39},0.412,0.31,0.981
{39},{26},0.316,0.404,0.981
{26},{29},0.412,0.278,0.99
{29},{26},0.28,0.408,0.99
